EARNINGS,S,SM,SF,MALE,AGE,ETHBLACK,ETHHISP,DATE,EXP
24.82164,16,12,12,1,33,0,0,1995,12
15.52459,12,12,12,1,30,0,0,1995,13
8.042684,14,12,10,1,30,0,0,1995,11
9.370833,9,12,12,0,33,0,0,1995,19
28.09774,16,12,18,0,33,0,0,1995,12
14.34402,16,12,12,0,31,0,0,1995,10
21.17661,12,12,12,1,33,0,0,1995,16
14.75722,12,14,20,0,30,0,0,1995,13
25.08727,12,0,4,0,33,0,0,1995,16
19.16963,13,12,12,0,30,0,0,1995,12
26.34163,12,12,12,0,31,0,0,1995,14
29.35211,15,10,12,1,32,0,0,1995,12
20.17312,12,14,12,1,30,0,0,1995,13
25.52999,19,12,12,0,31,0,0,1995,7
43.97651,12,12,16,1,33,0,0,1995,16
21.27991,14,12,16,0,31,0,0,1995,12
21.32418,12,12,16,0,30,0,0,1995,13
28.37813,18,17,16,1,30,0,0,1995,7
28.37813,16,14,16,0,32,0,0,1995,11
14.75722,14,16,16,1,30,0,0,1995,11
26.60727,16,16,16,0,30,0,0,1995,9
8.573943,16,14,20,1,31,0,0,1995,10
8.854331,9,9,9,0,33,1,0,1995,19
18.91875,12,5,3,0,31,0,0,1995,14
29.51443,16,12,9,1,33,0,0,1995,12
26.076,16,11,9,1,32,0,0,1995,11
6.640748,11,12,8,0,30,0,0,1995,14
47.29688,16,16,12,1,32,0,0,1995,11
21.98825,16,16,16,1,32,0,0,1995,11
32.06743,16,13,14,1,33,0,0,1995,12
22.40146,12,10,11,0,31,0,0,1995,14
27.28609,12,9,12,1,33,0,0,1995,16
24.82164,16,9,12,1,30,0,0,1995,9
56.04791,16,13,16,0,33,0,0,1995,12
24.99873,12,10,10,0,33,0,0,1995,16
9.223261,12,12,12,1,31,0,0,1995,14
10.7285,12,12,12,1,30,0,0,1995,13
19.18438,12,12,12,1,31,0,0,1995,14
36.40606,12,11,12,0,30,0,0,1995,13
32.20025,12,12,12,0,32,0,0,1995,15
10.24151,12,10,12,0,33,0,0,1995,16
20.68962,13,10,12,1,32,0,0,1995,14
24.67407,16,13,12,1,32,0,0,1995,11
15.92304,16,12,12,0,33,0,0,1995,12
10.99413,12,12,12,1,29,0,0,1995,12
25.82513,15,12,12,1,30,0,0,1995,10
22.03253,19,16,17,1,30,0,0,1995,6
22.40146,16,12,12,0,31,0,0,1995,10
37.83751,18,20,16,1,29,0,0,1995,6
25.38242,18,16,17,1,31,0,0,1995,8
20.99952,9,9,10,1,31,0,0,1995,17
22.65233,16,12,12,0,30,0,0,1995,9
35.41732,16,12,16,1,31,0,0,1995,10
63.23468,20,12,12,0,33,0,0,1995,8
14.90479,15,12,8,1,29,0,0,1995,9
18.96303,12,10,15,1,30,0,0,1995,13
29.69152,15,12,12,1,31,0,0,1995,11
14.75722,13,9,12,0,32,0,0,1995,14
8.854331,12,8,8,0,31,0,0,1995,14
14.01936,12,16,8,1,33,0,0,1995,16
14.84576,17,12,12,0,31,0,0,1995,9
7.378609,11,8,12,1,30,0,0,1995,14
15.84925,12,11,8,0,33,0,0,1995,16
17.70866,13,11,9,0,32,0,0,1995,14
12.91257,12,11,9,1,30,0,0,1995,13
28.03871,14,12,18,1,33,0,0,1995,14
21.27991,14,12,8,1,31,0,0,1995,12
17.14789,16,10,10,0,33,0,0,1995,12
20.15836,12,12,16,1,32,0,0,1995,15
7.009678,20,12,16,0,30,0,0,1995,5
17.95953,14,14,18,0,31,0,0,1995,12
22.41621,12,12,14,1,31,0,0,1995,14
38.67867,18,13,13,1,33,0,0,1995,10
13.65043,10,8,12,0,33,0,1,1995,18
11.43684,12,11,8,0,32,0,0,1995,15
15.27372,12,6,12,0,30,0,1,1995,13
10.33005,11,6,12,1,31,0,1,1995,15
17.70866,12,12,12,1,33,0,0,1995,16
18.44652,12,12,8,1,33,0,0,1995,16
16.67566,12,12,12,1,30,0,0,1995,13
19.18438,12,12,12,1,31,0,0,1995,14
17.70866,9,12,12,1,32,0,0,1995,18
6.803078,9,5,6,1,31,0,1,1995,17
13.47334,12,12,12,1,31,1,0,1995,14
24.31989,16,12,8,1,32,0,0,1995,11
22.20961,17,12,12,1,32,0,0,1995,10
20.91098,12,12,16,0,32,0,0,1995,15
29.79482,13,12,12,1,30,0,0,1995,12
25.52999,11,12,12,1,32,0,0,1995,16
33.33656,16,12,14,1,33,0,0,1995,12
28.37813,16,14,13,0,31,0,0,1995,10
24.00999,16,14,14,1,31,0,0,1995,10
26.85814,15,12,12,1,33,0,0,1995,13
14.75722,10,9,12,1,33,1,0,1995,18
28.37813,12,5,12,1,32,1,0,1995,15
18.54982,12,10,8,0,33,1,0,1995,16
19.937,12,10,7,0,32,1,0,1995,15
25.85465,15,12,14,0,31,1,0,1995,11
14.90479,12,12,12,0,30,1,0,1995,13
23.98048,13,11,12,1,31,0,0,1995,13
39.01809,16,12,10,0,33,0,0,1995,12
33.04141,12,12,12,1,33,0,0,1995,16
18.29895,12,12,12,1,33,0,0,1995,16
22.13583,13,11,12,1,30,0,0,1995,12
8.854331,14,17,16,0,30,0,0,1995,11
9.592192,12,12,11,1,33,0,0,1995,16
24.82164,12,8,8,1,30,0,0,1995,13
11.43684,13,10,12,0,31,0,0,1995,13
33.10044,16,12,8,0,33,0,0,1995,12
20.29117,12,12,9,1,31,0,0,1995,14
12.05665,14,16,14,1,32,0,0,1995,13
24.00999,16,14,16,1,29,0,0,1995,8
10.84655,12,12,12,1,30,0,0,1995,13
21.20612,12,12,12,1,32,0,0,1995,15
15.34751,12,12,12,1,29,0,0,1995,12
17.70866,12,12,12,1,33,0,0,1995,16
24.99873,17,12,12,0,32,0,0,1995,10
23.40495,18,12,12,0,32,0,0,1995,9
17.33973,12,12,10,0,32,0,0,1995,15
25.6628,16,12,18,1,33,0,0,1995,12
14.27023,12,12,12,0,30,0,0,1995,13
36.89304,12,8,6,1,32,0,0,1995,15
11.95335,11,12,12,0,32,0,0,1995,16
13.2815,12,12,12,0,33,0,0,1995,16
10.33005,12,8,12,1,30,0,0,1995,13
20.33545,12,12,12,1,31,0,0,1995,14
14.75722,12,12,10,1,33,0,0,1995,16
26.94668,12,12,14,1,31,0,0,1995,14
8.249285,12,15,14,1,30,0,0,1995,13
26.3859,14,12,18,1,33,0,0,1995,14
22.13583,13,12,12,1,30,0,0,1995,12
8.854331,12,10,11,0,33,0,0,1995,16
19.16963,13,10,11,0,30,0,0,1995,12
22.06204,19,12,12,0,30,0,0,1995,6
15.87877,12,14,9,1,31,0,0,1995,14
17.25119,14,11,11,1,31,1,0,1995,12
7.378609,10,8,7,0,33,0,0,1995,18
10.33005,12,8,7,1,31,0,0,1995,14
15.05236,12,8,8,1,31,0,0,1995,14
14.01936,12,12,11,0,33,0,0,1995,16
11.64345,10,9,16,0,30,0,0,1995,15
15.45081,12,12,15,0,32,0,0,1995,15
15.76071,12,12,16,1,33,0,0,1995,16
13.04538,17,12,15,0,31,0,0,1995,9
34.67946,16,12,16,1,33,0,0,1995,12
14.18169,20,12,13,1,32,0,0,1995,7
7.378609,12,12,12,0,33,0,0,1995,16
16.30673,12,12,14,0,33,0,0,1995,16
10.7285,12,12,12,1,30,0,0,1995,13
14.75722,17,14,16,1,33,0,0,1995,11
28.37813,17,12,12,0,31,0,0,1995,9
15.59838,14,12,16,0,30,0,1,1995,11
25.85465,16,14,12,1,31,1,0,1995,10
20.06982,15,16,16,1,32,0,0,1995,12
22.13583,12,11,12,1,31,0,0,1995,14
21.5603,13,11,14,1,29,0,0,1995,11
17.70866,16,14,16,0,32,0,0,1995,11
16.23294,12,16,16,1,30,0,0,1995,13
23.61155,12,16,12,1,31,0,0,1995,14
16.4543,12,9,9,1,31,0,0,1995,14
19.67137,8,10,10,1,32,0,0,1995,19
11.06791,8,10,10,1,30,0,0,1995,17
16.08537,12,12,12,0,32,0,0,1995,15
9.016661,13,12,12,1,30,0,0,1995,12
30.01618,13,12,15,1,33,0,0,1995,15
18.44652,12,12,15,1,30,0,0,1995,13
14.18169,12,10,11,0,31,0,0,1995,14
17.70866,11,13,14,1,32,0,0,1995,16
