ID,FEMALE,MALE,AGE,ETHBLACK,ETHHISP,ETHWHITE,S,MARISTAT,SINGLE,MARRIED,COHABIT,OTHSING,ASVABC,CHILDREN,EARNINGS,HOURS,TENURE,CHILDL06,CHILDL16,WORKING,EXP
1,1,0,30,0,0,1,16,2,1,0,0,0,-.2548892,4,27.47,35,4.846154,0,0,1,8.519231
2,0,1,29,0,1,0,14,2,1,0,0,0,.1968723,2,28.85,40,4.519231,0,0,1,6.480769
3,1,0,28,0,1,0,14,1,0,0,1,0,-.7475221,3,,40,1.596154,1,0,0,8.384615
4,1,0,30,0,1,0,13,1,0,0,1,0,-.4815771,4,13,40,.3846154,1,0,1,8.692307
6,1,0,29,0,1,0,14,3,0,1,0,0,-1.04014,8,14.25,30,6.192307,1,0,1,6.673077
7,0,1,28,0,1,0,11,3,0,1,0,0,-2.273044,5,,,0,0,0,0,1.807692
11,1,0,29,0,1,0,15,2,1,0,0,0,-.289511,2,18.38,21,1.153846,0,1,1,1.153846
13,0,1,27,0,1,0,10,1,0,0,1,0,.3155494,5,5,30,1.903846,0,0,1,6.038462
15,1,0,28,0,1,0,14,2,1,0,0,0,-.7171115,2,10.5,30,2.961539,0,0,1,2.961539
16,0,1,29,0,1,0,16,1,0,0,1,0,-.2362655,1,,,0,1,0,0,1.173077
18,0,1,29,1,0,0,13,1,0,0,1,0,-1.136441,7,,,0,0,1,0,6.288462
21,0,1,29,0,1,0,8,2,1,0,0,0,-1.707396,1,,,0,0,0,0,4.538462
22,0,1,29,0,1,0,13,1,0,0,1,0,-1.252454,3,,,0,1,0,0,8.653846
23,1,0,28,0,1,0,15,6,0,0,0,1,-1.55273,6,29.19,35,2.557692,0,0,1,2.557692
24,0,1,27,0,1,0,8,2,1,0,0,0,-1.898552,4,,,0,0,1,0,1.884615
25,1,0,28,0,1,0,8,3,0,1,0,0,-1.416644,5,12.86,35,.2692308,1,0,1,1.884615
26,0,1,31,1,0,0,11,2,1,0,0,0,-1.049556,3,,,0,0,0,0,.2692308
28,1,0,28,1,0,0,17,2,1,0,0,0,-.6738929,5,14.1,45,5.25,1,0,1,5.673077
31,0,1,29,0,0,1,16,2,1,0,0,0,.3377924,2,42,40,4.788462,0,0,1,7.5
32,1,0,30,0,0,1,18,1,0,0,1,0,-.3998419,2,60,40,.3076923,1,0,1,3.826923
33,1,0,31,0,0,1,16,3,0,1,0,0,1.625854,3,8.89,45,8.788462,0,0,1,8.788462
34,1,0,27,0,0,1,17,2,1,0,0,0,-.8326601,2,,,.5961539,0,0,0,2.269231
35,0,1,28,0,0,1,16,1,0,0,1,0,.4474026,6,23.35,35,4.75,0,0,1,4.75
36,1,0,31,0,0,1,14,6,0,0,0,1,.0515087,5,8,4,.3461539,0,1,1,1.384615
37,1,0,31,0,0,1,17,4,0,0,0,1,1.024952,2,29,40,4.615385,0,0,1,5.769231
38,1,0,30,0,0,1,16,2,1,0,0,0,.751174,2,25,40,2.346154,0,0,1,8.903846
39,0,1,31,0,1,0,16,2,1,0,0,0,-.3122741,2,19,20,1.673077,0,0,1,6.403846
41,1,0,28,0,0,1,17,2,1,0,0,0,1.019221,4,5,35,1.326923,0,0,1,4.75
43,1,0,30,1,0,0,13,2,1,0,0,0,-.624808,1,7.25,13,6.961538,0,0,1,6.961538
44,0,1,30,0,1,0,13,6,0,0,0,1,-.7868167,3,,,0,1,0,0,2.557692
47,1,0,29,1,0,0,14,2,1,0,0,0,-.1935523,2,10.5,40,.8076923,1,0,1,5.326923
48,1,0,28,1,0,0,16,2,1,0,0,0,.264236,2,23.56,40,2.576923,0,1,1,4.846154
49,1,0,29,1,0,0,12,3,0,1,0,0,.5580568,1,7.33,30,9.942307,1,0,1,10.84615
51,0,1,31,1,0,0,14,10,0,0,0,1,.2369613,4,12.23,40,4.038462,1,0,1,10.01923
52,0,1,28,1,0,0,14,3,0,1,0,0,-.4823794,7,12.61,40,3.807692,0,1,1,5.038462
53,1,0,27,1,0,0,12,2,1,0,0,0,.1173771,4,13,40,4.884615,0,0,1,9.673077
54,1,0,27,1,0,0,14,2,1,0,0,0,.3082309,3,12,35,1.634615,1,0,1,4.846154
55,1,0,30,0,1,0,16,3,0,1,0,0,.0834562,5,21.46,40,3.730769,0,0,1,3.730769
56,1,0,29,0,0,1,18,3,0,1,0,0,1.613505,2,32.14,35,2.057692,1,0,1,5.307693
58,0,1,28,1,0,0,14,2,1,0,0,0,-.9312873,1,37.5,40,5.5,0,0,1,5.884615
60,0,1,27,0,0,1,18,2,1,0,0,0,-1.702134,7,15,20,.1730769,0,0,1,.6538461
61,1,0,28,1,0,0,14,8,0,0,0,1,-.1970501,5,14.6,40,3.096154,0,1,1,6.596154
62,0,1,31,1,0,0,17,1,0,0,1,0,.545393,2,13.25,45,.2115385,0,0,1,9.288462
63,1,0,27,1,0,0,16,8,0,0,0,1,-.0105938,2,,,0,1,0,0,0
65,0,1,27,1,0,0,14,2,1,0,0,0,-.7300689,8,11,14,1.153846,0,0,1,2.346154
69,1,0,30,1,0,0,18,4,0,0,0,1,.9226008,3,30.05,40,.3653846,0,0,1,6.326923
70,0,1,29,1,0,0,16,2,1,0,0,0,.0457191,3,30,50,4.730769,0,0,1,4.730769
75,0,1,29,0,0,1,15,2,1,0,0,0,-1.511335,4,17.31,40,5.5,0,0,1,6.519231
76,0,1,29,0,0,1,14,2,1,0,0,0,-.4966708,4,23.33,45,3.480769,0,0,1,3.480769
78,1,0,30,0,0,1,14,2,1,0,0,0,-.4212004,5,8.25,30,.3653846,1,0,1,3.326923
79,0,1,28,0,1,0,13,1,0,0,1,0,-.9792036,3,8,10,1.519231,1,0,1,2.788461
80,0,1,30,1,0,0,11,2,1,0,0,0,-.9946094,4,,,0,0,1,0,1.423077
82,0,1,27,0,1,0,16,1,0,0,1,0,.3564559,6,16,32,.9230769,0,0,1,.9230769
83,0,1,30,0,1,0,12,2,1,0,0,0,-1.724051,3,10,35,7.057693,0,0,1,7.057693
84,1,0,27,0,1,0,12,8,0,0,0,1,.0419712,3,,,0,0,1,0,.5961539
85,0,1,27,0,0,1,12,3,0,1,0,0,.8466713,3,18,40,2.115385,1,0,1,6.365385
86,1,0,31,0,0,1,18,3,0,1,0,0,-.8933738,4,18.72,38,3.653846,1,0,1,4.442307
88,0,1,30,0,0,1,12,2,1,0,0,0,-1.495081,2,58,40,8.384615,0,0,1,10.75
89,0,1,30,0,0,1,19,3,0,1,0,0,.3887363,6,22.69,50,4.057693,0,0,1,4.134615
92,0,1,28,0,0,1,12,2,1,0,0,0,-2.258462,2,,,0,0,0,0,.7884616
93,0,1,28,0,1,0,12,3,0,1,0,0,-1.60623,2,14.95,40,4,0,0,1,4.076923
94,1,0,31,1,0,0,14,3,0,1,0,0,.7515788,5,22.61,37,8.788462,1,0,1,8.788462
97,0,1,31,0,1,0,16,8,0,0,0,1,.3681325,2,28.85,40,8.423077,0,0,1,8.423077
98,0,1,31,0,0,1,18,2,1,0,0,0,.0100378,2,,,0,0,0,0,0
100,1,0,30,1,0,0,11,1,0,0,1,0,-1.82147,1,11.5,16,.9423077,0,1,1,5.423077
102,1,0,29,0,1,0,16,2,1,0,0,0,.0268464,3,13,6,6.634615,0,0,1,6.634615
