ADM,BOOK,BUSI,CLOT,DATE,DENT,DOC,DPI,FLOW,FOOD,FURN,GAS,GASO,HOUS,LEGL,MAGS,MASS,OPHT,PADM,PBOOK,PBUSI,PCLOT,PDENT,PDOC,PFLOW,PFOOD,PFURN,PGAS,PGASO,PHOUS,PLEGL,PMAGS,PMASS,POP,POPHT,PRELG,PTELE,PTOB,PTOYS,PTPE,RELG,TELE,TIME,TOB,TOYS,TPE
12.26549,6.478151,93.77106,53.67233,1959,18.94912,58.33805,1715.5,2.1825,273.0077,13.90194,23.41551,60.74476,242.6068,39.759,14.89565,10.37718,3.040297,13.681,16.864,13.975,49.136,10.286,9.457,29.368,22.259,34.371,12.519,18.576,18.563,7.693,14.3,13.327,177130,21.067,17.087,55.169,7.394,55.035,20.432,29.55462,7.586064,1,88.58882,4.296506,23.067
12.17794,6.738989,96.8601,54.15163,1960,19.32362,59.37286,1759.7,2.40624,275.6656,13.78567,24.59221,62.82505,255.3289,39.647,15.0171,10.32413,2.894437,14.437,16.954,14.575,49.79,10.49,9.688,30.091,22.475,34.43,13.308,19.112,18.859,7.92,14.51,13.744,180760,21.577,17.295,56.039,7.64,55.903,20.767,30.05774,8.057691,2,89.88014,4.43178,23.702
11.88731,7.110026,102.5907,55.16679,1961,20.04174,59.78963,1819.2,2.37078,279.7515,13.65993,25.94603,63.47338,267.6888,44.009,13.82815,9.904349,2.833883,15.05,17.084,14.961,50.111,10.548,9.915,30.794,22.59,34.789,13.52,18.924,19.119,8.081,14.768,14.377,183742,22.286,17.429,56.227,7.702,56.686,20.985,30.64183,8.586864,3,92.66611,4.70063,24.191
11.89582,7.499598,102.2888,57.65854,1962,20.92733,63.8176,1908.2,2.7243,282.1883,14.54955,27.87139,66.16511,282.8466,45.788,15.51305,9.682855,3.403842,15.619,17.198,15.566,50.266,10.852,10.202,31.431,22.762,34.959,13.52,19.043,19.352,8.198,14.993,14.934,186590,22.634,17.581,56.222,7.763,57.503,21.232,31.01572,9.089766,4,92.96598,5.026646,25.389
11.85995,8.112601,105.9385,58.69156,1963,20.69002,66.46503,1979.1,3.14208,284.7554,15.60073,29.04194,68.19795,295.9513,49.001,15.89595,9.46946,3.56473,16.165,17.441,15.727,50.763,11.145,10.434,31.968,23.021,35.103,13.52,18.997,19.585,8.367,15.668,15.281,189300,22.791,17.842,56.24,7.999,58.224,21.479,32.17702,9.822852,5,93.71016,5.3487,26.436
11.73166,9.518902,112.1598,63.32377,1964,23.44198,76.19514,2122.8,3.31686,295.415,17.42322,30.27809,71.93158,310.1731,49.273,15.5421,9.272263,3.802747,17.176,16.978,16.422,51.13,11.449,10.722,32.728,23.513,35.15,13.596,18.873,19.785,8.807,16.262,15.628,191927,23.045,17.974,56.319,8.188,58.642,21.786,36.49314,10.56595,6,92.32777,5.760748,28.02
12.19192,9.544514,119.9605,65.92864,1965,24.08655,77.12339,2253.3,3.89538,311.1013,18.36084,31.45684,75.32962,327.3842,50.632,16.1469,9.117654,4.053803,18.211,17.332,16.757,51.671,11.823,11.067,33.036,23.963,35.366,13.596,19.587,19.985,9.313,16.717,15.914,194347,23.516,18.361,55.52,8.536,57.977,22.103,38.68135,11.68934,7,94.75107,6.192606,29.791
12.53848,10.32231,125.1575,70.37628,1966,24.58466,77.09734,2371.9,4.29984,323.6707,19.36064,32.69176,80.02959,342.361,55.479,18.4198,8.904259,4.403646,19.198,17.908,17.603,53.113,12.206,11.764,33.585,24.973,36.252,13.665,20.038,20.289,9.592,17.273,16.678,196599,24.189,18.808,54.294,8.997,57.781,22.662,40.91436,12.90907,8,94.75107,7.002552,31.484
12.28038,10.09113,130.7318,70.77818,1967,26.41147,79.90579,2475.9,4.33944,331.3835,19.29034,34.28174,82.62995,357.8712,55.578,18.30535,8.652826,3.934463,20.326,18.408,18.094,55.377,12.818,12.563,34.432,25.035,37.602,13.664,20.7,20.694,10.091,17.845,17.869,198752,25.347,19.279,55.013,9.334,58.755,23.237,44.24319,13.9424,9,95.60358,7.286684,32.422
12.96134,10.42779,136.3492,73.75517,1968,27.50594,82.33063,2588,4.58802,346.3614,19.98188,35.34528,88.38412,376.0083,56.325,18.12475,8.352981,4.423757,21.99,19.359,19.079,58.504,13.515,13.26,36.059,25.81,39.538,13.808,21.005,21.219,10.479,18.932,18.978,200745,26.203,20.044,55.016,9.922,61.022,24.151,46.20224,15.15586,10,94.92377,7.83344,34.284
13.08112,11.2285,138.3816,75.08292,1969,29.87227,87.07373,2668.7,4.67712,356.1596,20.2151,37.05293,94.3263,396.2289,57.238,18.48105,8.273356,4.907968,23.44,20.591,20.898,61.898,14.475,14.237,37.407,26.966,41.799,14.029,21.696,21.941,11.374,19.95,20.516,202736,27.323,21.295,55.742,10.451,64.046,25.255,46.79496,16.64706,11,93.66463,8.170776,35.558
13.09206,13.45607,143.7726,74.14814,1970,31.86284,91.46873,2781.7,4.60908,366.6719,19.71486,37.54616,100.1648,410.803,61.046,19.26085,7.542171,5.322564,25.177,21.745,22.108,64.447,15.284,15.276,39.067,28.482,43.477,14.818,21.89,22.901,12.599,21.242,24.006,205089,28.8,22.097,56.393,11.325,65.521,26.448,49.66375,17.8893,12,95.24248,8.389818,36.381
13.18114,12.93103,149.0126,77.71458,1971,31.57238,93.84858,2907.9,4.71042,371.4038,20.51525,37.86719,105.0159,428.9804,62.255,19.3305,7.260708,5.083884,26.44,23.045,23.021,66.521,16.27,16.304,41.096,29.143,44.823,15.895,22.05,23.964,13.662,22.865,25.612,207692,30.525,23.24,59.16,11.804,66.94,27.574,53.63871,18.66367,13,96.00314,8.701684,37.77
12.92,12.19401,155.2177,82.93624,1972,33.32627,98.73139,3046.5,5.12262,378.7539,22.87111,39.44241,109.2959,453.7302,62.428,20.2034,6.996535,5.591079,27.192,24.176,24.298,67.976,16.928,16.824,42.305,30.498,45.597,16.684,22.336,24.818,14.996,23.602,26.722,209924,31.688,24.294,62.49,12.449,67.932,28.528,57.68432,19.90216,14,97.88872,9.672374,40.082
12.32234,12.28567,162.8675,88.74437,1973,37.6912,106.0343,3252.3,5.29794,373.631,25.01132,38.19437,114.9781,476.618,65.806,21.7924,7.108465,5.951751,28.21,24.884,25.375,70.426,17.482,17.353,43.382,34.266,47.158,17.481,24.473,25.874,16.39,24.246,26.653,211939,32.857,25.809,64.089,12.794,68.541,30.081,58.02203,22.07014,15,103.4355,10.86267,42.048
13.20394,12.60279,165.0509,87.49701,1974,38.59966,107.2373,3228.5,5.5665,366.5982,24.46106,37.66916,109.3153,501.5088,67.256,22.20715,7.70133,6.020924,30.056,25.362,28.239,75.415,18.782,18.969,46.038,39.49,51.174,19.636,33.059,26.871,17.732,26.446,26.305,213898,35.135,29.599,66.797,13.417,71.285,33.191,56.26801,23.25984,16,105.0267,11.45584,41.729
13.33405,11.87622,178.7656,90.47698,1975,39.6002,110.4743,3302.6,5.3541,373.6423,23.17396,38.89219,112.571,516.1533,65.372,20.8607,7.470645,6.209216,32.326,30.1,30.716,78.284,20.743,21.276,49.736,42.449,55.329,23.52,35.278,28.619,18.957,30.427,27.774,215981,37.964,32.305,68.954,14.374,75.648,35.955,56.61261,25.71305,17,104.7739,11.83393,42.688
