country,EDUC,GDP,POP
Dominican R,122.7964,10350,7684
Oman,397.9194,12918.86,2116
Guatemala,194.2203,12983.2,10322
Slovakia,535.2473,13746.29,5325
Slovenia,719.8354,14385.53,1925
Tunisia,854.0925,15625.74,8820
Uruguay,392.0578,16250.27,3168
Ecuador,519.3915,16605.59,11221
Yemen,1213.739,22380.43,14329
Morocco,1452.461,30350.97,26025
U Arab Emir,700.3541,36665.76,2157
Czech Repub,1992.845,39895.8,10275
Hungary,2500.162,41506.28,10162
Algeria,1987.763,41969.25,27450
Syria,1391.626,44752.52,13840
Peru,1739.408,50287.02,23131
Chile,1393.21,50918.65,13994
New Zealand,3123.889,51320.09,3519
Ireland,2810.164,52662.18,3536
Venezuela,2824.96,58417.68,21378
Colombia,1869.975,68631.07,35178
Singapore,1627.602,71039.02,3268
Malaysia,2980.223,72504.66,19695
Iran,2740.887,73413.54,66671
Myanmar,742.4392,79126.68,44323
Portugal,4362.461,87352.48,9824
Poland,3430.343,92597.3,38499
Finland,6695.636,97624.42,5085
Saudi Arabi,7312.684,120168.2,17765
Norway,9267.598,122925.6,4314
Turkey,4173.22,135960.8,59903
Thailand,4337.492,145168.1,57782
Denmark,10971.07,151265.5,5207
Belgium,13019.88,232006.2,10093
Switzerland,13245.59,261387.7,7104
Netherlands,17095.05,334285.7,15382
Mexico,18273.19,420787.8,89564
Spain,21959.16,483651.6,39577
