COST,   N,OCC,REGULAR,TECH,WORKER,VOC,GEN,RES
60679.5,99,1,0,0,1,0,0,0
49069.5,102,1,0,0,1,0,0,0
107885,131,1,0,0,1,0,0,0
95191,135,1,0,1,0,0,0,1
119836,146,1,0,1,0,0,0,1
45158,173,1,0,1,0,0,0,1
111255.5,173,1,0,0,1,0,0,0
102450.5,185,1,0,0,1,0,0,0
44925,199,1,0,0,1,0,0,0
110205,205,1,0,0,1,0,0,0
84383,208,0,1,0,0,1,0,0
77397,211,0,1,0,0,1,0,0
27661,236,0,1,0,0,1,0,0
185558,253,1,0,1,0,0,0,0
74937.5,255,0,1,0,0,0,1,0
213922.5,258,1,0,0,1,0,0,0
273743.5,269,0,1,0,0,1,0,0
51052,275,0,1,0,0,0,1,0
60285.5,276,0,1,0,0,0,1,0
62255,276,0,1,0,0,0,1,0
100130,280,1,0,0,1,0,0,0
160020,307,0,1,0,0,1,0,0
81860,309,0,1,0,0,0,1,0
63036,322,0,1,0,0,1,0,0
82253.5,347,0,1,0,0,0,1,0
71179.5,348,0,1,0,0,0,1,0
107115,350,0,1,0,0,0,1,0
225585,355,1,0,1,0,0,0,0
87733.5,363,0,1,0,0,1,0,0
165043.5,371,0,1,0,0,1,0,0
224350.5,384,1,0,0,1,0,0,1
79189,395,0,1,0,0,0,1,0
170152.5,400,0,1,0,0,0,1,0
81332,424,0,1,0,0,0,1,0
193484.5,434,1,0,1,0,0,0,1
91005,450,0,1,0,0,0,1,0
95280,451,0,1,0,0,0,1,0
115875,461,0,1,0,0,1,0,0
175651.5,472,1,0,1,0,0,0,1
99325,474,0,1,0,0,0,1,0
241165.5,493,1,0,1,0,0,0,0
340909.5,506,1,0,1,0,0,0,1
322422.5,513,1,0,1,0,0,0,0
111050,513,0,1,0,0,0,1,0
111608.5,515,0,1,0,0,0,1,0
103729,529,0,1,0,0,0,1,0
225175.5,532,0,1,0,0,0,1,0
194600,538,0,1,0,0,1,0,0
85670,544,0,1,0,0,1,0,0
232461,551,0,1,0,0,0,1,0
100132.5,563,0,1,0,0,0,1,0
192550,567,0,1,0,0,0,1,0
97084.5,592,0,1,0,0,0,1,0
117622,605,0,1,0,0,0,1,0
106815,609,0,1,0,0,0,1,0
344529,623,1,0,1,0,0,0,1
566136.5,632,1,0,1,0,0,0,1
512913,643,1,0,0,1,0,0,1
537137,653,1,0,1,0,0,0,1
525826,663,1,0,0,1,0,0,0
204450.5,679,1,0,1,0,0,0,0
387874.5,690,1,0,1,0,0,0,0
200763,711,0,1,0,0,1,0,0
444725,724,1,0,1,0,0,0,1
169285.5,736,0,1,0,0,0,1,0
359547,751,1,0,0,1,0,0,0
174170.5,769,0,1,0,0,0,1,0
293233.5,826,1,0,1,0,0,0,0
255670,920,1,0,0,1,0,0,0
257588,1017,1,0,1,0,0,0,1
335007,1079,0,1,0,0,0,1,0
560110,1163,1,0,0,1,0,0,1
596982,1200,1,0,0,1,0,0,0
132534,1267,0,1,0,0,0,1,0
